gene,p_value,coefficients,variance_explained
Eloc,0.9228590740172623,"[ 0.03661342  0.01121461 -0.02363997  0.01760287  0.02520702 -0.06699795
 -0.92864774]","OrderedDict([('explained_deviance', 9.322430082336908e-06), ('McFadden', 0.9999915107750857), ('McFadden_adj', 5.442211892026094e-06)])"
Tmem70,0.995964959428126,"[ 2.22640013e-03  1.33643614e-03 -8.47856271e-04 -3.23721767e-03
 -3.02216362e-03  3.54439651e-03 -9.58779540e-01]","OrderedDict([('explained_deviance', 2.6750639414707678e-06), ('McFadden', 0.9999965401704083), ('McFadden_adj', 6.147343348805734e-07)])"
Ly96,0.9966743210017954,"[-4.39468781e-03 -3.05500625e-03 -8.85572199e-04 -8.01211376e-03
 -8.69286482e-03  2.50402402e-02 -9.34274713e-01]","OrderedDict([('explained_deviance', 1.2550252956877728e-06), ('McFadden', 0.9999986782993098), ('McFadden_adj', -1.6321901312732479e-06)])"
Jph1,0.9945692429825763,"[ 0.00933176  0.0046476  -0.00316809  0.00257272  0.01008147 -0.02346546
 -0.99176899]","OrderedDict([('explained_deviance', 1.7339523962212056e-06), ('McFadden', 0.9999982628044615), ('McFadden_adj', -9.674216971955474e-07)])"
Gdap1,0.9850091344365913,"[ 0.01024185  0.00398092 -0.00542019  0.00282783  0.00942515 -0.02105557
 -0.9293141 ]","OrderedDict([('explained_deviance', 2.15641657352883e-06), ('McFadden', 0.9999978794116438), ('McFadden_adj', -8.877159434206305e-07)])"
Gm28784,0.9998285238976765,"[-0.00576977 -0.00154607  0.0039727  -0.00382275 -0.00291329  0.01007918
 -0.97625194]","OrderedDict([('explained_deviance', 4.334566461317024e-08), ('McFadden', 0.9999999854845213), ('McFadden_adj', -2.7436504308475662e-06)])"
Gm28154,0.9933671465408754,"[-0.00886666 -0.00291223  0.00480009 -0.00885463 -0.01160611  0.02743953
 -0.97284164]","OrderedDict([('explained_deviance', 2.4777897584815634e-06), ('McFadden', 0.9999970662587551), ('McFadden_adj', 1.7373105543061484e-07)])"
Gm16070,0.9635229367931117,"[-0.02714517 -0.0090299   0.01640262 -0.01209202 -0.01613615  0.04800062
 -0.99504506]","OrderedDict([('explained_deviance', 4.186319787380377e-06), ('McFadden', 0.9999959516639704), ('McFadden_adj', 1.400316001709534e-06)])"
Crispld1,0.9571149363118951,"[ 0.03525469  0.01556074 -0.01385075  0.0218718   0.0266822  -0.08551868
 -0.96276803]","OrderedDict([('explained_deviance', 3.8117446811147815e-06), ('McFadden', 0.9999971572251993), ('McFadden_adj', -5.024527993668926e-08)])"
Gm28153,0.9710965852231412,"[-0.00948988 -0.00259398  0.00552266 -0.01350927 -0.01067885  0.03074931
 -1.03200605]","OrderedDict([('explained_deviance', 4.091573253761638e-06), ('McFadden', 0.9999950258406565), ('McFadden_adj', 2.4914460199365607e-06)])"
Gm28756,0.9231985960212622,"[ 0.01472447  0.00688592 -0.00590168  0.00295973  0.0063252  -0.02499364
 -0.95201711]","OrderedDict([('explained_deviance', 5.864301248825754e-06), ('McFadden', 0.9999926745348496), ('McFadden_adj', 4.424835815086681e-06)])"
Mcm3,0.9996123999147289,"[ 0.01713937  0.00656484 -0.00844035  0.01084706  0.01055166 -0.03666258
 -1.00207129]","OrderedDict([('explained_deviance', 7.414208872402739e-07), ('McFadden', 0.9999994632438309), ('McFadden_adj', -2.1321370358151626e-06)])"
